GeneID	Symbol	Description	log2(fold change)	-log10(Pvalue)
729737	LOC729737	uncharacterized LOC729737	-1.832	2.577
100132287	LOC100132287	uncharacterized LOC100132287	-1.375	1.664
100133331	LOC100133331	replaced by ID 100288069	-1.309	1.447
84069	PLEKHN1	pleckstrin homology domain containing N1	3.68	3.981
84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	4.168	4.909
9636	ISG15	ISG15 ubiquitin like modifier	-3.2	1.897
105378948	LOC105378948	uncharacterized LOC105378948	2.422	1.408
7293	TNFRSF4	TNF receptor superfamily member 4	-2.803	1.442
116983	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	1.842	4.172
80772	CPTP	ceramide-1-phosphate transfer protein	1.016	3.121
219293	ATAD3C	ATPase family AAA domain containing 3C	-1.354	1.875
142678	MIB2	MIB E3 ubiquitin protein ligase 2	0.971	2.28
112268218	LOC112268218	uncharacterized LOC112268218	-1.327	1.896
65220	NADK	NAD kinase	-1.239	3.944
339456	TMEM52	transmembrane protein 52	3.332	1.773
5590	PRKCZ	protein kinase C zeta	1.759	4.644
9651	PLCH2	phospholipase C eta 2	3.503	4.089
115110	TNFRSF14-AS1	TNFRSF14 antisense RNA 1	-0.958	2.465
8764	TNFRSF14	TNF receptor superfamily member 14	-0.667	1.526
105378604	LOC105378604	uncharacterized LOC105378604	-6.949	4.502
1953	MEGF6	multiple EGF like domains 6	2.125	2.059
127262	TPRG1L	tumor protein p63 regulated 1 like	0.841	4.67
7161	TP73	tumor protein p73	2.704	2.791
1677	DFFB	DNA fragmentation factor subunit beta	-1.001	1.739
55966	AJAP1	adherens junctions associated protein 1	-3.209	2.61
8514	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	-1.639	2.483
83715	ESPN	espin	4.853	29.444
57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	2.952	2.086
8863	PER3	period circadian regulator 3	2.575	8.615
3604	TNFRSF9	TNF receptor superfamily member 9	-2.428	1.326
